# ExxonMobil corporate turnaround plan (AMR Turnaround Schedule 2026 FP, Query1 sheet).
# Vendored from the operator's own plan to VERIFY the IIR Exxon outage records (per-unit, by site/date).
# bucket = focus unit class derived from platform/subunit (CDU/FCC/Hydrocracker/Reformer/Coker/Hydrotreater/Other).
site,unit,platform,subunit,bucket,year,start,end,event,region
Sarnia Refinery,AVIS,Distillation,CDU,CDU,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,AVIS,Distillation,VAC,CDU,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,CVBD - Flare,Flare,Flare,Other,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,HCIS,Hydrocracking,HYC,Hydrocracker,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,HPIS,Miscellaneous,OTHER,Other,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,HSIS,Miscellaneous,OTHER,Other,2028,2028-04-01,2028-05-22,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,MHIS,Hydroprocessing,HYDT,Hydrotreater,2028,2028-04-01,2028-05-01,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,MHIST101,Distillation,FRACTIONATOR,Other,2028,2028-04-01,2028-04-16,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,SLE,Distillation,Saturated Light Ends,Other,2028,2028-04-01,2028-04-16,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,Sarnia Benzene,,Benzene,Other,2028,2028-04-01,2028-04-30,2028 HCIS AVIS MHIS ARIS TA Block,North America
Sarnia Refinery,,,,Other,2028,2028-04-01,2028-05-22,2028 HCIS AVIS MHIS ARIS TA Block,North America
Baton Rouge Refinery,ALKY,Alkylation,Alkylation Strat,Other,2026,2026-02-02,2026-03-15,1Q26 Alky Stratco Turnaround,North America
Beaumont Complex,HDC,Hydrocracking,Hydrocracking,Hydrocracker,2028,2028-02-14,2028-03-24,2028 HDC Block TA,North America
Beaumont Complex,PTR4_CCR4,Reforming,,Reformer,2028,2028-02-14,2028-03-24,2028 HDC Block TA,North America
Baton Rouge Complex,ALKY,Alkylation,Alkylation East,Other,2027,2027-02-01,2027-03-01,1Q27 Alky East Turnaround,North America
Baton Rouge Refinery,AROM,Aromatics,Benzene Hydrofining Unit,Other,2028,2028-01-24,2028-02-22,"1Q28 Atlas Event (PHLA-2, RHLA-2, HCLA, Aromatics/LOLA, Halobutyl)",North America
Baton Rouge Refinery,BRCP Butyl,Butyl,Butyl,Other,2028,2028-01-24,2028-03-08,"1Q28 Atlas Event (PHLA-2, RHLA-2, HCLA, Aromatics/LOLA, Halobutyl)",North America
Baton Rouge Refinery,HCLA,Hydrocracking,HYC,Hydrocracker,2028,2028-01-24,2028-02-25,"1Q28 Atlas Event (PHLA-2, RHLA-2, HCLA, Aromatics/LOLA, Halobutyl)",North America
Baton Rouge Refinery,PHLA-2,Reforming,REF-OTH,Reformer,2028,2028-01-24,2028-03-02,"1Q28 Atlas Event (PHLA-2, RHLA-2, HCLA, Aromatics/LOLA, Halobutyl)",North America
Baton Rouge Refinery,RHLA-2,Hydroprocessing,HYDT,Hydrotreater,2028,2028-01-24,2028-03-02,"1Q28 Atlas Event (PHLA-2, RHLA-2, HCLA, Aromatics/LOLA, Halobutyl)",North America
Baton Rouge Refinery,SRLA,Gas Processing,Sulfur Recovery 200,Other,2028,2028-04-24,2028-05-23,2Q28 SRLA-200 Turnaround,North America
Baton Rouge Refinery,ICN,Hydroprocessing,Intermediate Catalytic Naphtha,Hydrotreater,2028,2028-09-12,2028-10-10,"3Q28 Atlas Event (PCLA-3/PCLA-2/WGS, 4LEU-W, SRLA-100/TGCU-B, ICN/SHU, RGR/EPLA-S)",North America
Baton Rouge Refinery,LEU4,Distillation,Light Ends 4 West,Other,2028,2028-09-12,2028-10-18,"3Q28 Atlas Event (PCLA-3/PCLA-2/WGS, 4LEU-W, SRLA-100/TGCU-B, ICN/SHU, RGR/EPLA-S)",North America
Baton Rouge Refinery,OLA-2X,Olefin Recovery,Refinery Gas Recovery,Other,2028,2028-09-12,2028-10-06,"3Q28 Atlas Event (PCLA-3/PCLA-2/WGS, 4LEU-W, SRLA-100/TGCU-B, ICN/SHU, RGR/EPLA-S)",North America
Baton Rouge Refinery,PCLA-2,Cracking,FCC,FCC,2028,2028-10-01,2028-10-09,"3Q28 Atlas Event (PCLA-3/PCLA-2/WGS, 4LEU-W, SRLA-100/TGCU-B, ICN/SHU, RGR/EPLA-S)",North America
Baton Rouge Refinery,PCLA-3,Cracking,FCC,FCC,2028,2028-09-12,2028-10-24,"3Q28 Atlas Event (PCLA-3/PCLA-2/WGS, 4LEU-W, SRLA-100/TGCU-B, ICN/SHU, RGR/EPLA-S)",North America
Baton Rouge Refinery,SRLA,Gas Processing,Sulfur Recovery 100,Other,2028,2028-09-12,2028-10-11,"3Q28 Atlas Event (PCLA-3/PCLA-2/WGS, 4LEU-W, SRLA-100/TGCU-B, ICN/SHU, RGR/EPLA-S)",North America
Baton Rouge Refinery,WET GAS SCRUBBER,Miscellaneous,OTHER,Other,2028,2028-09-12,2028-10-21,"3Q28 Atlas Event (PCLA-3/PCLA-2/WGS, 4LEU-W, SRLA-100/TGCU-B, ICN/SHU, RGR/EPLA-S)",North America
Beaumont Complex,ALKY 2,Asphalt,ASA,Other,2027,2027-01-07,2027-02-22,2027 FCC/ALKY/SRU3 Event,North America
Beaumont Complex,ALKY FD HDT,Hydroprocessing,HYDT,Hydrotreater,2027,2027-01-07,2027-02-22,2027 FCC/ALKY/SRU3 Event,North America
Beaumont Complex,FCC,Cracking,FCC,FCC,2027,2027-01-07,2027-02-21,2027 FCC/ALKY/SRU3 Event,North America
Beaumont Complex,MTBE,Miscellaneous,OTHER,Other,2027,2027-01-07,2027-02-22,2027 FCC/ALKY/SRU3 Event,North America
Beaumont Complex,NSU,Distillation,FRACTIONATOR,Other,2027,2027-01-07,2027-02-21,2027 FCC/ALKY/SRU3 Event,North America
Beaumont Complex,SCANFINER,Hydroprocessing,HYDT,Hydrotreater,2027,2027-01-07,2027-02-23,2027 FCC/ALKY/SRU3 Event,North America
Beaumont Complex,SULFUR PLANT 3,Gas Processing,SRU/TRU,Other,2027,2027-01-07,2027-02-13,2027 FCC/ALKY/SRU3 Event,North America
Beaumont Complex,UCAR SOL 3,Gas Processing,SRU/TRU,Other,2027,2027-01-07,2027-02-13,2027 FCC/ALKY/SRU3 Event,North America
Beaumont Complex,WET GAS SCRUBBER,Miscellaneous,OTHER,Other,2027,2027-01-07,2027-02-21,2027 FCC/ALKY/SRU3 Event,North America
Baton Rouge Complex,KDLA SOLVENT DEWAX,Lubes,LUBES,Other,2029,2029-01-19,2029-03-09,"1Q29 Block (KDLA, LELA-N/S, WHLA)",North America
Baton Rouge Complex,LELA-N,Lubes,LUBES,Other,2029,2029-01-19,2029-02-23,"1Q29 Block (KDLA, LELA-N/S, WHLA)",North America
Baton Rouge Complex,LELA-S,Lubes,LUBES,Other,2029,2029-01-19,2029-02-26,"1Q29 Block (KDLA, LELA-N/S, WHLA)",North America
Baton Rouge Complex,WHLA,Lubes,LUBES,Other,2029,2029-01-19,2029-02-27,"1Q29 Block (KDLA, LELA-N/S, WHLA)",North America
Baton Rouge Complex,HHLA-S,Hydroprocessing,HYDT,Hydrotreater,2029,2029-09-11,2029-10-09,3Q29 HHLA-S Turnaround,North America
Baton Rouge Complex,RHLA-1,Hydroprocessing,HYDT,Hydrotreater,2029,2029-10-01,2029-10-31,4Q29 RHLA-1 Turnaround,North America
Baytown Refinery,CLAUS C,Gas Processing,SRU/TRU,Other,2027,2027-06-01,2027-07-09,2027 Claus C / Flexsorb TA,North America
Baytown Refinery,CLEU3,Distillation,Catalytic Light Ends 3,Other,2028,2028-06-01,2028-07-01,2028 CLEU RGR TA,North America
Baytown Refinery,DAU,Miscellaneous,OTHER,Other,2028,2028-01-24,2028-02-29,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,FS_SOUTH,Utilities,Flare Stack 20,Other,2028,2028-01-24,2028-02-23,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,FS_SOUTH,Utilities,Flare Stack 21,Other,2028,2028-01-24,2028-02-23,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,FS_SOUTH,Utilities,Flare Stack 22,Other,2028,2028-01-24,2028-02-23,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,HF 4,Reforming,REF-OTH,Reformer,2028,2028-01-24,2028-03-01,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,MSDW,Lubes,LUBES,Other,2028,2028-01-24,2028-02-28,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,NHF,Hydroprocessing,HYDT,Hydrotreater,2028,2028-01-24,2028-02-24,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,RHC,Lubes,LUBES,Other,2028,2028-01-24,2028-02-28,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,SCU2,Gas Processing,Sour Water Stripper A,Other,2028,2028-01-24,2028-02-13,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,VPS 8,Distillation,VAC,CDU,2028,2028-01-24,2028-02-22,2028 FN+ GOLD/ RHC/MSDW,North America
Baytown Refinery,HCU 1,Hydrocracking,HYC,Hydrocracker,2028,2028-09-10,2028-11-09,2028 HCU TA + GOLD Outage Execution,North America
Baytown Refinery,ALKY,Alkylation,Alkylation,Other,2029,2029-01-15,2029-02-23,2029 Fuels South Event,North America
Baytown Refinery,CLEU1,Distillation,Catalytic Light Ends 1,Other,2029,2029-01-15,2029-02-23,2029 Fuels South Event,North America
Baytown Refinery,CLEU2,Distillation,Catalytic Light Ends 2,Other,2029,2029-01-15,2029-02-23,2029 Fuels South Event,North America
Baytown Refinery,CLEU3,Distillation,Catalytic Light Ends 3,Other,2029,2029-01-15,2029-02-23,2029 Fuels South Event,North America
Baytown Refinery,FCCU 2,Cracking,FCC,FCC,2029,2029-01-15,2029-02-24,2029 Fuels South Event,North America
Baytown Refinery,CLAUS B,Gas Processing,SRU/TRU,Other,2029,2029-09-01,2029-10-09,2029 Claus B TA,North America
Baytown Refinery,FXK,Coking,COK-OTH,Coker,2028,2028-06-01,2028-07-16,2028 FXK TA,North America
Baytown Refinery,VPS 7 North,Distillation,VAC,CDU,2028,2028-06-01,2028-07-05,2028 FXK TA,North America
Baytown Refinery,LDU,Lubes,LUBES,Other,2030,2030-01-28,2030-03-07,"2030 Specialties Event - MEK, LHU2, LXU1, LDU",North America
Baytown Refinery,LHU 2,Lubes,LUBES,Other,2030,2030-01-28,2030-02-27,"2030 Specialties Event - MEK, LHU2, LXU1, LDU",North America
Baytown Refinery,LXU 1,Lubes,LUBES,Other,2030,2030-01-28,2030-03-06,"2030 Specialties Event - MEK, LHU2, LXU1, LDU",North America
Baytown Refinery,MEK,Lubes,MEK Dewaxing,Other,2030,2030-01-28,2030-03-10,"2030 Specialties Event - MEK, LHU2, LXU1, LDU",North America
Baytown Refinery,CLAUS D,Gas Processing,SRU/TRU,Other,2030,2030-09-02,2030-10-13,2030 Claus D + Tail Gas C + Flexsorb B TA,North America
Baytown Refinery,SCU2,Gas Processing,Tail gas cleanup C,Other,2030,2030-09-02,2030-10-01,2030 Claus D + Tail Gas C + Flexsorb B TA,North America
Baytown Refinery,GF-1B,Hydroprocessing,,Hydrotreater,2030,2030-05-01,2030-06-08,2030 GF-1B TA,North America
Baytown Chemical Plant,BAPP_L8,Slurry,Line 8 Polymerization,Other,2030,2030-06-01,2030-07-01,2030 BAPP LN8 Outage,North America
Nanticoke Refinery,NP-BZSPL,Distillation,FRACTIONATOR,Other,2027,2027-04-01,2027-05-07,2Q27 Spartan TA,North America
Nanticoke Refinery,NP-CRU,Reforming,CCR,Reformer,2027,2027-04-01,2027-05-07,2Q27 Spartan TA,North America
