Refinery,Unit (IIR breakdown),Class,kbd,IIR window,Plan window,Verdict vs Exxon plan
Baton Rouge,PSLA 9 (Pipestill),CDU,110,9/14-10/5,9/14-10/5,MATCH
Baton Rouge,Delayed Coker East,Coker,45,10/1-11/4,9/14-11/6,MATCH
Baton Rouge,Delayed Coker West,Coker,28,9/14-11/6,9/14-11/6,MATCH
Baton Rouge,HULA Diesel Hydrofinin,Hydrotreater,45,5/4-5/27,5/4-5/27,MATCH
Baton Rouge,HHLA Heating Oil/ULSD ,Hydrotreater,40,4/6-4/29,4/6-4/29,MATCH
Baton Rouge,HHLA Heating Oil/ULSD ,Hydrotreater,40,9/14-9/22,9/14-9/22,MATCH
Baton Rouge,HHLA Heating Oil/LSD H,Hydrotreater,30,9/14-10/7,9/14-10/7,MATCH
Baton Rouge,SF Alkylation (East Tr,Other,19,2/1-3/1,2/1-3/1,MATCH
Baytown,FCCU 3 (Fuels East),FCC,125,2/22-4/13,2/22-4/12,MATCH
Baytown,HU 6A Diesel (ULSD) HT,Hydrotreater,75,5/15-6/17,5/15-6/17,MATCH
Baytown,SF Alkylation Train A ,Other,21,10/1-11/30,10/1-11/30,MATCH
Baytown,SF Alkylation Train A ,Other,21,2/22-4/18,2/22-4/8,MATCH
Beaumont,FCCU,FCC,120,1/7-2/21,1/7-2/21,MATCH
Beaumont,Delayed Coker,Coker,60,5/3-6/2,5/3-6/2,MATCH
Beaumont,Gasoline Hydrotreater,Hydrotreater,40,2/5-3/16,1/7-2/22,DATE OFF ~29d
Beaumont,CHD 2 Diesel (ULSD),Hydrotreater,40,9/27-11/1,9/27-11/1,MATCH
Beaumont,SF Alkylation 2,Other,16,1/7-2/22,1/7-2/22,MATCH
Beaumont,MTBE(Methyl tert Butyl,Other,4,1/7-2/22,1/7-2/22,MATCH
Joliet,Crude,CDU,250,4/5-5/13,4/5-5/13,MATCH
Joliet,Crude,CDU,230,9/2-10/21,"plan months [4, 5]",WRONG WINDOW
Joliet,Vacuum Distillation,CDU,127,4/5-5/13,4/5-5/13,MATCH
Joliet,FCCU,FCC,98,4/2-5/22,-,NOT IN PLAN
Joliet,Delayed Coker,Coker,59,4/5-5/8,4/5-5/8,MATCH
Joliet,Diesel (ULSD) CHD,Hydrotreater,80,4/5-5/10,4/5-5/9,MATCH
Joliet,Selective Hydrogenatio,Hydrotreater,50,4/5-5/13,4/5-5/9,MATCH
Joliet,Naphtha Desulfurizer (,Hydrotreater,25,4/5-5/6,4/5-5/9,MATCH
Joliet,HF Alkylation,Other,26,4/1-5/11,4/5-5/5,MATCH
Joliet,REFORMER,Reformer,-,-,4/5-5/15,MISSING from IIR (US)
Nanticoke,NP-CRU,Reformer,-,-,4/1-5/7,MISSING (Canada/non-US)
Nanticoke,NP-CSU,CDU,-,-,4/1-5/13,MISSING (Canada/non-US)
Nanticoke,FCCU,FCC,-,-,4/12-5/17,MISSING (Canada/non-US)
Strathcona,BU,Reformer,-,-,6/28-7/12,MISSING (Canada/non-US)
Beaumont,DUA,Hydrocracker,-,-,1/4-2/19,MISSING from IIR (US)
Sarnia,PFIS1,Reformer,-,-,1/11-3/8,MISSING (Canada/non-US)
